,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-02-04 23:21:45,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190204T232145_20190204T232210_014803_01B9E9_2CEB,2019-02-04 17:15:45,COPERNICUS/S2_SR_HARMONIZED/20190204T171519_20190204T171517_T16WES,L2A_T16WES_A010005_20190204T171517
1,2019-03-02 23:05:01,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190302T230501_20190302T230526_015182_01C659_E024,2019-03-02 17:35:38,COPERNICUS/S2_SR_HARMONIZED/20190302T173229_20190302T173231_T16WES,L2A_T16WES_A010377_20190302T173231
2,2019-03-12 23:21:45,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190312T232145_20190312T232210_015328_01CB22_BF22,2019-03-12 17:35:37,COPERNICUS/S2_SR_HARMONIZED/20190312T173139_20190312T173137_T16WES,L2A_T16WES_A010520_20190312T173137
3,2019-03-14 23:05:01,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190314T230501_20190314T230526_015357_01CC0E_B6D4,2019-03-14 17:25:39,COPERNICUS/S2_SR_HARMONIZED/20190314T172101_20190314T172357_T16WES,L2A_T16WES_A019457_20190314T172357
4,2019-03-24 23:21:45,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190324T232145_20190324T232210_015503_01D0CC_4B2A,2019-03-24 17:25:42,COPERNICUS/S2_SR_HARMONIZED/20190324T171951_20190324T172302_T16WES,L2A_T16WES_A019600_20190324T172302
5,2019-03-26 23:05:01,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190326T230501_20190326T230526_015532_01D1D0_011A,2019-03-26 17:15:46,COPERNICUS/S2_SR_HARMONIZED/20190326T170939_20190326T170956_T16WES,L2A_T16WES_A010720_20190326T170956
6,2019-04-05 23:21:45,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190405T232145_20190405T232210_015678_01D698_03AA,2019-04-05 17:15:48,COPERNICUS/S2_SR_HARMONIZED/20190405T170849_20190405T170851_T16WES,L2A_T16WES_A010863_20190405T170851
7,2019-05-01 23:05:02,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190501T230502_20190501T230527_016057_01E331_E6AD,2019-05-01 17:35:47,COPERNICUS/S2_SR_HARMONIZED/20190501T172909_20190501T173402_T16WES,L2A_T16WES_A011235_20190501T173402
8,2019-05-11 23:21:46,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190511T232146_20190511T232211_016203_01E7E7_EBE6,2019-05-11 17:35:48,COPERNICUS/S2_SR_HARMONIZED/20190511T172909_20190511T173225_T16WES,L2A_T16WES_A011378_20190511T173225
9,2019-05-13 23:05:03,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190513T230503_20190513T230528_016232_01E8C9_D7BF,2019-05-13 17:25:47,COPERNICUS/S2_SR_HARMONIZED/20190513T171901_20190513T172047_T16WES,L2A_T16WES_A020315_20190513T172047
10,2019-05-23 23:21:47,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190523T232147_20190523T232212_016378_01ED56_CAB9,2019-05-23 17:25:46,COPERNICUS/S2_SR_HARMONIZED/20190523T171901_20190523T171859_T16WES,L2A_T16WES_A020458_20190523T171859
11,2019-05-25 23:05:03,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190525T230503_20190525T230528_016407_01EE2F_A039,2019-05-25 17:15:54,COPERNICUS/S2_SR_HARMONIZED/20190525T170859_20190525T171218_T16WES,L2A_T16WES_A011578_20190525T171218
12,2019-06-04 23:21:48,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190604T232148_20190604T232213_016553_01F29D_8962,2019-06-04 17:15:53,COPERNICUS/S2_SR_HARMONIZED/20190604T170859_20190604T171207_T16WES,L2A_T16WES_A011721_20190604T171207
13,2019-07-22 23:21:51,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190722T232151_20190722T232216_017253_020739_D3D0,2019-07-22 17:25:48,COPERNICUS/S2_SR_HARMONIZED/20190722T171901_20190722T171901_T16WES,L2A_T16WES_A021316_20190722T171901
14,2019-08-03 23:21:51,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190803T232151_20190803T232216_017428_020C79_1367,2019-08-03 17:15:53,COPERNICUS/S2_SR_HARMONIZED/20190803T170859_20190803T171253_T16WES,L2A_T16WES_A012579_20190803T171253
15,2019-09-22 23:05:10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190922T230510_20190922T230535_018157_022311_6A66,2019-09-22 17:15:45,COPERNICUS/S2_SR_HARMONIZED/20190922T171019_20190922T171016_T16WES,L2A_T16WES_A013294_20190922T171016
16,2019-11-07 23:21:54,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191107T232154_20191107T232219_018828_023811_0077,2019-11-07 17:35:40,COPERNICUS/S2_SR_HARMONIZED/20191107T173529_20191107T173525_T16WES,L2A_T16WES_A013952_20191107T173525
